127.0.0.1 - - [05/Aug/2019:18:36:06 +0200] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [05/Aug/2019:18:36:08 +0200] "GET /alphashop/ HTTP/1.1" 200 5162
0:0:0:0:0:0:0:1 - - [05/Aug/2019:18:36:08 +0200] "GET /alphashop/static/css/open-iconic-bootstrap.css;jsessionid=AB7061EAF82677FDCC724FC6D71F0B3B HTTP/1.1" 200 11396
0:0:0:0:0:0:0:1 - - [05/Aug/2019:18:36:08 +0200] "GET /alphashop/static/css/bootstrap.min.css;jsessionid=AB7061EAF82677FDCC724FC6D71F0B3B HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [05/Aug/2019:18:36:08 +0200] "GET /alphashop/static/css/main.css;jsessionid=AB7061EAF82677FDCC724FC6D71F0B3B HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [05/Aug/2019:18:36:08 +0200] "GET /alphashop/static/js/jquery-3.2.1.min.js;jsessionid=AB7061EAF82677FDCC724FC6D71F0B3B HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [05/Aug/2019:18:36:08 +0200] "GET /alphashop/static/js/bootstrap.min.js;jsessionid=AB7061EAF82677FDCC724FC6D71F0B3B HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [05/Aug/2019:18:36:08 +0200] "GET /alphashop/static/js/main.js;jsessionid=AB7061EAF82677FDCC724FC6D71F0B3B HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [05/Aug/2019:18:36:08 +0200] "GET /alphashop/static/images/offline_user.png;jsessionid=AB7061EAF82677FDCC724FC6D71F0B3B HTTP/1.1" 200 7989
0:0:0:0:0:0:0:1 - - [05/Aug/2019:18:36:17 +0200] "GET /alphashop/static/fonts/open-iconic.eot? HTTP/1.1" 200 28196
0:0:0:0:0:0:0:1 - - [05/Aug/2019:18:36:17 +0200] "GET /alphashop/static/fonts/open-iconic.woff HTTP/1.1" 200 14984
